Timestamp               Ty Process[PID:TID]
2026-07-17 01:09:45.767 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=474
2026-07-17 01:09:45.806 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=505
2026-07-17 01:09:48.605 Sp App[12621:3e4e92] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=313
2026-07-17 01:09:51.671 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=380
2026-07-17 01:09:55.048 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=756
2026-07-17 01:09:57.793 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=500
2026-07-17 01:10:01.374 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=1082
2026-07-17 01:10:03.657 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=365
2026-07-17 01:10:06.647 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=355
2026-07-17 01:10:11.397 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=2104
2026-07-17 01:10:12.698 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=406
2026-07-17 01:10:15.574 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=274
2026-07-17 01:10:15.590 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=298
2026-07-17 01:10:15.659 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/approvals status=200 ms=479
2026-07-17 01:10:15.994 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/actions status=200 ms=334
2026-07-17 01:10:18.661 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=369
2026-07-17 01:10:21.661 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=369
2026-07-17 01:10:24.662 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=371
2026-07-17 01:10:27.993 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=702
2026-07-17 01:10:30.651 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=359
2026-07-17 01:10:33.640 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=348
2026-07-17 01:10:36.648 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=356
2026-07-17 01:10:39.946 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=654
2026-07-17 01:10:42.682 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=390
2026-07-17 01:10:45.756 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=456
2026-07-17 01:10:45.756 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=464
2026-07-17 01:10:48.983 Sp App[12621:3e5674] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=691
